year,Benchmark,CI-GMBCTS,CI-GMBE,NE-GMBCTS
02/01/2020,0.010114612,0.010,0.011,0.010
03/01/2020,0.012886362,0.013,0.009,0.013
06/01/2020,-0.007271244,-0.008,-0.014,-0.007
07/01/2020,0.003722998,0.003,-0.006,0.004
08/01/2020,-0.012743085,-0.014,-0.024,-0.013
09/01/2020,0.000168963,0.000,-0.008,0.000
10/01/2020,0.001901204,0.001,-0.005,0.002
13/01/2020,-0.000199852,-0.001,-0.005,0.000
14/01/2020,-0.002993823,-0.004,-0.005,-0.003
15/01/2020,-0.009273163,-0.010,-0.010,-0.009
16/01/2020,0.001661319,0.001,0.000,0.002
17/01/2020,0.006212355,0.005,0.005,0.006
20/01/2020,0.000201075,-0.001,-0.003,0.000
21/01/2020,-0.013684441,-0.014,-0.014,-0.014
22/01/2020,-0.016033067,-0.018,-0.017,-0.016
23/01/2020,-0.01955016,-0.021,-0.018,-0.019
24/01/2020,-0.024552187,-0.026,-0.022,-0.024
27/01/2020,-0.061078085,-0.062,-0.056,-0.061
28/01/2020,-0.062687472,-0.064,-0.063,-0.063
29/01/2020,-0.053253883,-0.054,-0.055,-0.053
30/01/2020,-0.051051618,-0.052,-0.054,-0.051
31/01/2020,-0.054269838,-0.055,-0.059,-0.054
03/02/2020,-0.068497578,-0.069,-0.074,-0.068
04/02/2020,-0.05146182,-0.052,-0.060,-0.051
05/02/2020,-0.03678544,-0.038,-0.045,-0.037
06/02/2020,-0.030287085,-0.031,-0.041,-0.030
07/02/2020,-0.032258348,-0.033,-0.041,-0.032
11/02/2020,-0.040466336,-0.041,-0.049,-0.040
12/02/2020,-0.031144258,-0.032,-0.038,-0.031
13/02/2020,-0.034558075,-0.035,-0.044,-0.035
14/02/2020,-0.039711549,-0.040,-0.049,-0.040
17/02/2020,-0.039594716,-0.040,-0.047,-0.040
18/02/2020,-0.050853685,-0.051,-0.059,-0.051
19/02/2020,-0.050734488,-0.051,-0.059,-0.051
20/02/2020,-0.062228043,-0.062,-0.069,-0.062
21/02/2020,-0.060526956,-0.060,-0.070,-0.060
24/02/2020,-0.103718156,-0.104,-0.111,-0.104
25/02/2020,-0.100070248,-0.100,-0.106,-0.100
26/02/2020,-0.143082322,-0.143,-0.151,-0.143
27/02/2020,-0.126132869,-0.126,-0.135,-0.126
28/02/2020,-0.158553336,-0.158,-0.171,-0.158
02/03/2020,-0.159103569,-0.159,-0.172,-0.159
03/03/2020,-0.132115411,-0.132,-0.145,-0.132
04/03/2020,-0.130711118,-0.130,-0.144,-0.131
05/03/2020,-0.125947371,-0.126,-0.135,-0.126
06/03/2020,-0.145455417,-0.145,-0.154,-0.145
09/03/2020,-0.236591621,-0.236,-0.250,-0.237
10/03/2020,-0.224089469,-0.223,-0.241,-0.224
11/03/2020,-0.229225271,-0.228,-0.247,-0.229
12/03/2020,-0.325318913,-0.324,-0.347,-0.325
13/03/2020,-0.311902545,-0.311,-0.330,-0.312
16/03/2020,-0.371262866,-0.370,-0.389,-0.371
17/03/2020,-0.387809759,-0.386,-0.400,-0.388
18/03/2020,-0.384851092,-0.383,-0.397,-0.385
19/03/2020,-0.39765189,-0.395,-0.405,-0.398
